Track x,Track y,Harmonic distance,BPM increase,
What So Not - Goh (AC Slater Remix).mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.023054228,0.009156028,
J Balvin - Mi Gente.mp3,Justice - D.A.N.C.E.mp3,0.023108328,0.07675378,
Flume - You & Me.mp3,Beyoncé - Drunk in Love.mp3,0.023169632,0.072127401,
Hot Since 82 - Veins.mp3,Travis Scott - goosebumps.m4a,0.02321673,0.048790716,
Ekali - Unfaith.mp3,Travis Scott - goosebumps.m4a,0.023294358,0.015386508,
The xx - Tides (Dixon Remix).mp3,ODESZA - Say My Name (feat. Zyra).mp3,0.023344617,0.060409568,
Justice - Genesis.mp3,Bicep - Just.mp3,0.023423698,0.025176199,
Justice - D.A.N.C.E.mp3,Dillon Francis - Need You.mp3,0.023443126,0.009413992,
What So Not - Goh (AC Slater Remix).mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.023459392,0.05,
Disclosure - When A Fire Starts To Burn.mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.023463333,0.007323429,
FISHER - You Little Beauty.mp3,Four Tet - Only Human.mp3,0.023701775,0.024292869,
Kanye West - Father Stretch My Hands Pt. 1.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.023703513,0.088285229,
Bonobo - Bambro Koyo Ganda.mp3,Linkin Park - In The End.mp3,0.023738389,0.098675138,
Kanye West - Fade.mp3,Bicep - Just.mp3,0.023759454,0.1321157,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Dillon Francis - Need You.mp3,0.02378064,0.099015505,
Four Tet - Baby.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.024021356,0.02515571,
RL Grime - Pressure (Valentino Khan Remix).mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.024021564,0.015990541,
Disclosure - When A Fire Starts To Burn.mp3,Dog Blood - BREAK LAW.mp3,0.024085096,0.147730429,
Marvin Gaye - Sexual Healing (Kygo Remix).mp3,T-Pain - I'm Sprung.mp3,0.024087447,0.009960896,
Travis Scott - goosebumps.m4a,Daft Punk - One More Time (Capital People Remix).mp3,0.024125363,0.056906159,
Love Regenerator - CP-1.mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.024148689,0.040213333,
Dillon Francis - Get Low.mp3,Polo & Pan - Zoom Zoom.mp3,0.024184721,0.074784847,
Flume - Insane (Bishu Remix).mp3,Skrillex - Midnight Hour.mp3,0.024213544,0.139521881,
FISHER - You Little Beauty.mp3,Jack U - Mind (Malaa remix).mp3,0.024246275,0.007640381,
Beyoncé - Single Ladies (Put a Ring on It).mp3,Juelz - Defqon Bounce.mp3,0.024304084,0.007505365,
Kid Cudi - Pursuit of Happiness.mp3,Travis Scott - goosebumps.m4a,0.024478243,0.128143515,
Love Regenerator - CP-1.mp3,FISHER - You Little Beauty.mp3,0.024496892,0.03232597,
Justice - Genesis.mp3,Hannah Wants  - Rhymes.mp3,0.024524647,0.076323096,
Tchami - Missing You.mp3,Four Tet - Baby.mp3,0.024548228,0.000551198,
Chrome Sparks - Wake.mp3,Daft Punk - Aerodynamic.mp3,0.02463348,0.024208939,
Ginuwine - Pony.mp3,Zhu - Exhale.mp3,0.024714179,0.014565846,
Flume - Never Be Like You (Disclosure Remix).mp3,Dog Blood - BREAK LAW.mp3,0.024774534,0.111024687,
ODESZA - Bloom (Lane 8 Remix).mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.024792584,0.059144523,
Justice - D.A.N.C.E.mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.024877313,0.044250763,
Kid Cudi - Pursuit of Happiness.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.024926386,0.09312352,
ODESZA - Loyal.mp3,"Daft Punk - Harder, Better, Faster, Stronger.mp3",0.024951277,0.133516906,
Justin Martin - Don't Go (Dusky Remix).mp3,Daft Punk - Aerodynamic.mp3,0.024995555,0.001383216,
Kid Cudi - Pursuit of Happiness.mp3,Hot Since 82 - Veins.mp3,0.025061145,0.075661233,
Galantis - Runaway (U&I).mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.025079572,0.024065016,
Backstreet Boys - Everybody (Backstreet's Back).mp3,Jack U - Mind (Malaa remix).mp3,0.025224063,0.139101425,
RL Grime - Pressure (Valentino Khan Remix).mp3,Tchami - Missing You.mp3,0.025250904,0.00780878,
Hannah Wants  - Rhymes.mp3,Four Tet - Baby.mp3,0.025297169,0.008548365,
Zhu - My Life (Kyle Watson Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.025475846,0.007559869,
A$AP Ferg - Work (DJZA Tech House Remix).wav,Dog Blood - TURN OFF THE LIGHTS.mp3,0.025488789,0.040473397,
A$AP Ferg - Work (DJZA Tech House Remix).wav,Tchami - Missing You.mp3,0.025517468,0.032094476,
Jack U - Mind (Malaa remix).mp3,Denzel Curry - SPEEDBOAT.mp3,0.025568268,0.025211213,
Justice - Genesis.mp3,Malaa - Notorious.mp3,0.025624626,0.051027295,
Dog Blood - BREAK LAW.mp3,Polo & Pan - Zoom Zoom.mp3,0.025726467,0.148835675,
Justin Martin - Don't Go (Dusky Remix).mp3,Justice - Genesis.mp3,0.025799013,0.051403187,
Kaskade - Tight.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.025996355,0.032350925,
Hot Since 82 - Veins.mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.026147157,0.032484133,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Schoolboy Q - 5200.mp3,0.026187291,0.040172698,
Skrillex - Face My Fears.m4a,Kodak Black - Patty Cake.mp3,0.026196675,0.051750891,
Disclosure - Latch.mp3,Drake - Get It Together.mp3,0.026235921,0.008402604,
A$AP Ferg - Work (DJZA Tech House Remix).wav,James Blake  - Limit To Your Love (Club remix).mp3,0.026244622,0,
Galantis - Runaway (U&I).mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.026391758,0.024065016,
Hugo Massien - No Return.mp3,Hot Since 82 - Veins.mp3,0.026414095,0.007737905,
Seven Lions - Strangers.mp3,Disclosure - Latch.mp3,0.026504228,0.065425541,
Justice - D.A.N.C.E.mp3,Chrome Sparks - Wake.mp3,0.026511639,0.06177941,
Dr Dre - The Next Episode.mp3,Drake - Nice For What.mp3,0.026536633,0.020354627,
Backstreet Boys - I Want It That Way.mp3,Beyoncé - Single Ladies (Put a Ring on It).mp3,0.026605586,0.023909593,
Flume - Holdin' On.mp3,Drake - Nice For What.mp3,0.02664395,0.037100374,
Tchami - Missing You.mp3,Flume - Never Be Like You (Disclosure Remix).mp3,0.02668964,0.058441125,
Hannah Wants  - Rhymes.mp3,Flume - Insane (Bishu Remix).mp3,0.026755015,0.13942239,
Kaskade - Tight.mp3,ALICE DEEJAY - Better Off Alone.mp3,0.026799874,0.104334153,
Tchami - Missing You.mp3,Justice - Genesis.mp3,0.026858764,0.08492589,
What So Not - Goh (AC Slater Remix).mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.026934257,0.025292978,
Dog Blood - BREAK LAW.mp3,A$AP Ferg - Work (DJZA Tech House Remix).wav,0.026976177,0.139386216,
Beyoncé - Drunk in Love.mp3,Zhu - My Life (Kyle Watson Remix).mp3,0.026999281,0.138288706,
Four Tet - Baby.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.027007468,0.032452548,
Disclosure - Omen (Jonas Rathsman Remix).mp3,Bonobo - Bambro Koyo Ganda.mp3,0.027106572,0.07346907,
Tchami - Missing You.mp3,Skrillex - Midnight Hour.mp3,0.027160488,0.008080776,
Tchami - Missing You.mp3,Bicep - Just.mp3,0.027195816,0.058282362,
Disclosure - When A Fire Starts To Burn.mp3,Justin Martin - Don't Go (Dusky Remix).mp3,0.027257837,0.007117785,
Chris Lake - I Want You.mp3,Ginuwine - Pony.mp3,0.027301621,0.136119288,
Flume - Never Be Like You (Disclosure Remix).mp3,Bicep - Just.mp3,0.027413837,0.00015002,
Skrillex - Midnight Hour.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.027463111,0.016377836,
A$AP Ferg - Work (DJZA Tech House Remix).wav,Zhu - My Life (Kyle Watson Remix).mp3,0.027665743,0.000234722,
Dog Blood - BREAK LAW.mp3,Bicep - Just.mp3,0.027698809,0.111191362,
Sirius (Innellea Remix).mp3,Corona - Rhythm Of The Night (Blonde Remix).mp3,0.02781737,0,
Disclosure - Holding On.mp3,Beyonce - Formation.mp3,0.027823885,0.016709575,
Tchami - Prophecy.mp3,Yaeji - raingurl.mp3,0.027864991,0.024046461,
Jack U - Mind (Malaa remix).mp3,Disclosure - Holding On.mp3,0.027865025,0.00777854,
Dog Blood - BREAK LAW.mp3,ODESZA - Say My Name (feat. Zyra).mp3,0.027873381,0.065318444,
Justin Martin - Don't Go (Dusky Remix).mp3,Four Tet - Planet.mp3,0.027889611,0.031778146,
Dillon Francis - Masta Blasta (THE REBIRTH).mp3,BANKS - Fall Over (Djemba Djemba Remix).mp3,0.027948628,0.010005333,
Disclosure - When A Fire Starts To Burn.mp3,Travis Scott - goosebumps.m4a,0.027957075,0.049222254,
Dog Blood - TURN OFF THE LIGHTS.mp3,Kanye West - Father Stretch My Hands Pt. 1.mp3,0.028091621,0.132100665,
Zhu - Faded.mp3,Diplo - Love To The World.mp3,0.028163332,0.015965533,
Skrillex - Midnight Hour.mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.028171889,0.025569693,
Dog Blood - TURN OFF THE LIGHTS.mp3,Tchami - Missing You.mp3,0.028192153,0.008118366,
Getter - Something New.mp3,Kanye West - Flashing Lights.mp3,0.028249609,0.005165691,
Tchami - Prophecy.mp3,Chris Lake - I Want You.mp3,0.028325537,0,
Tchami - Born Again.mp3,Oliver Huntemann - Rotlicht.mp3,0.028524718,0.016120838,
Dog Blood - BREAK LAW.mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.028589234,0.092801452,
Zhu - My Life (Kyle Watson Remix).mp3,Rufus Du Sol - Brighter.mp3,0.028869545,0.043108857,
Flume - The Difference.mp3,Beyoncé - Drunk in Love.mp3,0.028892938,0.142326644,
Porter Robinson - Easy.m4a,Daft Punk - Aerodynamic.mp3,0.028917082,0.041382565,
Disclosure - Latch.mp3,Zhu - My Life (Kyle Watson Remix).mp3,0.029057808,0.008459987,
Rufus Du Sol - Underwater (Adam Port Remix).mp3,Justice - Genesis.mp3,0.029213157,0.008209816,
Denzel Curry - SPEEDBOAT.mp3,Linkin Park - In The End.mp3,0.029216808,0.141502525,
"Daft Punk - Harder, Better, Faster, Stronger.mp3",Chrome Sparks - Wake.mp3,0.029252769,0.028984058,
Dillon Francis - Masta Blasta (THE REBIRTH).mp3,Tchami - Missing You.mp3,0.029375521,0.141697376,
Ariana Grande - 7 rings.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.029411335,0.138167873,
FISHER - Losing It.mp3,Shiba San - Show Me Show Me.mp3,0.029427008,0.016301476,
ODESZA - Loyal.mp3,AC Slater - Fly Kicks (Wax Motif Remix).mp3,0.029475828,0.119473061,
Tchami - Prophecy.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.029504182,0.015938032,
Kid Cudi - Pursuit of Happiness.mp3,Diplo - Love To The World.mp3,0.029562239,0.067125272,
Dillon Francis - Need You.mp3,Yaeji - raingurl.mp3,0.029594881,0.143380284,
Hannah Wants  - Rhymes.mp3,Childish Gambino - This Is America (remix).mp3,0.029683854,0.015950198,
Chrome Sparks - Wake.mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.029730728,0.01678586,
Hot Since 82 - Veins.mp3,Schoolboy Q - 5200.mp3,0.029915476,0.032185743,
Kanye West - Father Stretch My Hands Pt. 1.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.029965936,0.096031409,
ODESZA - Say My Name (feat. Zyra).mp3,Travis Scott - goosebumps.m4a,0.030051273,0.130389055,
Justin Timberlake - Cry Me a River.mp3,Zhu - Exhale.mp3,0.030226011,0.055598814,
Zhu - Faded.mp3,Flume - Insane (Bishu Remix).mp3,0.030264237,0.14863047,
Denzel Curry - SPEEDBOAT.mp3,Backstreet Boys - Everybody (Backstreet's Back).mp3,0.030273257,0.11108951,
Four Tet - Baby.mp3,Zhu - My Life (Kyle Watson Remix).mp3,0.030412065,0.032905754,
Beyoncé - Drunk in Love.mp3,Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,0.030479235,0.071406127,
Ginuwine - Pony.mp3,Tchami - Prophecy.mp3,0.030545931,0.136119288,
Ariana Grande - 7 rings.mp3,Tchami - Prophecy.mp3,0.030567153,0.1203123,
Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,Snoop Dogg - Drop It LIke It's Hot (DEL30 remix).wav,0.030584238,0,
RL Grime - Pressure (Valentino Khan Remix).mp3,Four Tet - Baby.mp3,0.030645321,0.008364283,
Against All Logic - You Are Going to Love Me and Scream.mp3,Disclosure - Latch.mp3,0.030652213,0.024527405,
Rufus Du Sol - Underwater (Adam Port Remix).mp3,ODESZA - Say My Name (feat. Zyra).mp3,0.03069501,0.025797928,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Dog Blood - TURN OFF THE LIGHTS.mp3,0.030699373,0.040473397,
Zhu - My Life (Kyle Watson Remix).mp3,What So Not - Goh (AC Slater Remix).mp3,0.030728588,0.050246458,
Chris Lake - I Want You.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.030797513,0.015938032,
Flume - You & Me.mp3,Cardi B - I Like It (Dillon Francis Remix).mp3,0.030823827,0.000219809,
Chrome Sparks - Wake.mp3,Dillon Francis - Need You.mp3,0.030866454,0.071774993,
Jack U - Mind (Malaa remix).mp3,Four Tet - Only Human.mp3,0.030906811,0.032118857,
Ginuwine - Pony.mp3,Justin Timberlake - Cry Me a River.mp3,0.030933454,0.040443869,
Kanye West - Fade.mp3,Flume - Never Be Like You (Disclosure Remix).mp3,0.031115723,0.131945886,
Four Tet - Only Human.mp3,Bell Biv DeVoe - Poison (RIFFA Bootleg).wav,0.031136293,0.032118857,
Rufus Du Sol - Underwater (Adam Port Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.031204957,0.050264371,
Chris Lake - I Want You.mp3,Ariana Grande - 7 rings.mp3,0.031487933,0.1203123,
Beyoncé - Single Ladies (Put a Ring on It).mp3,Kanye West - Flashing Lights.mp3,0.031519218,0.068925311,
Sacha Robotti - Low Key Goddess.mp3,Flume - Never Be Like You (Disclosure Remix).mp3,0.031548197,0.033604481,
Drake - 0 To 100.mp3,Beyoncé - Single Ladies (Put a Ring on It).mp3,0.031553231,0.095228119,
RL Grime - Pressure (Valentino Khan Remix).mp3,Caribou - Can't Do Without You (Tale Of Us Remix).mp3,0.031744025,0.025292978,
Backstreet Boys - Everybody (Backstreet's Back).mp3,Dr Dre - The Next Episode.mp3,0.031814163,0.133543208,
What So Not - Goh (AC Slater Remix).mp3,Chris Lake - I Want You.mp3,0.031829981,0.033527605,
Four Tet - Planet.mp3,Justice - Genesis.mp3,0.031885497,0.084814831,
Hugo Massien - No Return.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.031937412,0.024097524,
Sacha Robotti - Low Key Goddess.mp3,Bicep - Just.mp3,0.031955236,0.033449443,
Flume - Insane (Bishu Remix).mp3,Tchami - Missing You.mp3,0.032231736,0.130387473,
Ariana Grande - 7 rings.mp3,Zhu - Exhale.mp3,0.032270516,0.000450048,
What So Not - Goh (AC Slater Remix).mp3,Ginuwine - Pony.mp3,0.032358097,0.099263613,
Four Tet - Planet.mp3,Disclosure - When A Fire Starts To Burn.mp3,0.032544738,0.024486075,
Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,Ginuwine - Pony.mp3,0.032620717,0.056363713,
ODESZA - Bloom (Lane 8 Remix).mp3,Chris Lake - I Want You.mp3,0.032667578,9.60E-05,
Backstreet Boys - Everybody (Backstreet's Back).mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.032738593,0.139101425,
Disclosure - Omen (Jonas Rathsman Remix).mp3,RL Grime - Tell Me.mp3,0.032813457,0.129398008,
RL Grime - Tell Me.mp3,Skrillex - Mumbai Power.mp3,0.032891832,0.000714026,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Hugo Massien - No Return.mp3,0.032979563,0,
Kodak Black - Patty Cake.mp3,Ginuwine - Pony.mp3,0.03297962,0.070903509,
Kanye West - Father Stretch My Hands Pt. 1.mp3,Rufus Du Sol - Underwater (Adam Port Remix).mp3,0.033008621,0.043576684,
Kanye West - Fade.mp3,Dog Blood - BREAK LAW.mp3,0.033026742,0.018830544,
Dog Blood - BREAK LAW.mp3,Beyoncé - Crazy In Love.mp3,0.033070091,0.089033429,
Shiba San - Okay.mp3,Bicep - Just.mp3,0.033084497,0.025124581,
Disclosure - When A Fire Starts To Burn.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.033090529,0.007323429,
Caribou - Can't Do Without You (Tale Of Us Remix).mp3,Bad Bunny - Estamos Bien.mp3,0.033091958,0.077710925,
Kid Cudi - Pursuit of Happiness.mp3,Bad Bunny - Estamos Bien.mp3,0.033099855,0.039955932,
Skrillex - Midnight Hour.mp3,Justice - Genesis.mp3,0.033106676,0.076229123,
Disclosure - Stimulation.mp3,Dillon Francis - Masta Blasta (THE REBIRTH).mp3,0.03321291,0.123978666,
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Hannah Wants  - Rhymes.mp3,0.033253933,0.049943331,
Kid Cudi - Pursuit of Happiness.mp3,Wild Cherry - Play That Funky Music (Gordo Edit).mp3,0.033371942,0.06740178,
Skrillex - Midnight Hour.mp3,Four Tet - Planet.mp3,0.033385249,0.007977583,
Dillon Francis - Need You.mp3,Daft Punk - One More Time (Capital People Remix).mp3,0.033398476,0.099015505,
Shiba San - Okay.mp3,Hannah Wants  - Rhymes.mp3,0.033423805,0.024159263,
Daft Punk - One More Time (Capital People Remix).mp3,Disclosure - When A Fire Starts To Burn.mp3,0.033427233,0.007323429,
Bicep - Just.mp3,Skrillex - Midnight Hour.mp3,0.03344166,0.04979917,
Ekali - Unfaith.mp3,Daft Punk - Aerodynamic.mp3,0.033462368,0.074433288,
Daft Punk - Aerodynamic.mp3,M83 - Midnight City (Eric Prydz Remix).mp3,0.033486101,0.033392459,
Drake - Get It Together.mp3,What So Not - Goh (AC Slater Remix).mp3,0.033504529,0.050306223,
Ariana Grande - 7 rings.mp3,Ginuwine - Pony.mp3,0.033517033,0.014109448,
Drake - Get It Together.mp3,James Blake  - Limit To Your Love (Club remix).mp3,0.03365082,0.000291641,
Hot Since 82 - Veins.mp3,RL Grime - Pressure (Valentino Khan Remix).mp3,0.033690153,0.016234002,
ODESZA - Memories That You Call (ODESZA & Golden Features VIP Remix).mp3,Kanye West - Fade.mp3,0.033705862,0.132059095,
A$AP Ferg - Work (DJZA Tech House Remix).wav,Drake - Get It Together.mp3,0.033745807,0.000291641,
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,Travis Scott - goosebumps.m4a,0.033750254,0.056906159,
Rihanna - Kiss It Better (Four Tet Remix).mp3,Against All Logic - You Are Going to Love Me and Scream.mp3,0.033871185,0.04143994,
