track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Kanye West - Flashing Lights.mp3,90.482,0.036953759,0.139994134,0.115553818,0.031185844,0.039300029,0.026493303,0.160132955,0.062567211,0.08407469,0.111545606,0.043014957,0.149183693
Disclosure - Holding On.mp3,124.004,0.104695806,0.050206734,0.11983166,0.012404017,0.040165387,0.318738925,0.008047844,0.036769049,0.034997047,0.131349675,0.09000295300000001,0.052790904000000013
Disclosure - Latch.mp3,121.986,0.14347984,0.060933527,0.025517617000000003,0.150653832,0.028151108,0.116327643,0.020704686,0.027878678,0.17608063899999998,0.060751907,0.133490737,0.056029786
Four Tet - Baby.mp3,127.066,0.140537219,0.026422051,0.183900983,0.066186798,0.034936798,0.138957163,0.007636938,0.100333567,0.052317416,0.175298455,0.021418539,0.052054073
Kodak Black - Patty Cake.mp3,152.094,0.023424294,0.101666264,0.050953876,0.067616518,0.181115673,0.05928519700000001,0.122313451,0.037430572,0.15189567699999998,0.026322144,0.014489253999999997,0.16348708
Chrome Sparks - Wake.mp3,119.997,0.026954813,0.06459725,0.118428291,0.006051081,0.067897839,0.016031434,0.220196464,0.038506876,0.112455796,0.14836935199999998,0.016031434,0.164479371
Beyonce - Formation.mp3,121.966,0.098816901,0.053859155,0.045183099,0.078197183,0.033014085,0.25239436600000004,0.060957745999999986,0.11256338,0.053859155,0.06433802799999999,0.09543662,0.051380282
Ekali - Unfaith.mp3,132.05,0.09354479,0.0322141,0.085243464,0.012266138,0.103828522,0.053648866,0.046214843,0.084747863,0.02589518,0.198860116,0.010035931,0.253500186
Bonobo - Linked.mp3,122.041,0.022623013,0.221831207,0.012505499,0.102871866,0.00553007,0.147677999,0.144787281,0.006912587,0.023377113,0.004336077,0.301011751,0.006535536999999999
Against All Logic - You Are Going to Love Me and Scream.mp3,124.978,0.038581423,0.058183833,0.014545958,0.248528088,0.065526079,0.053681513,0.020502875,0.028676318,0.145390317,0.068573803,0.19297638,0.064833414
The Weeknd - Blinding Lights.mp3,85.5025,0.129990715,0.013231198,0.048050139000000006,0.171541318,0.011258124,0.332985144,0.007544104,0.131383473,0.037836583,0.010445682,0.095636026,0.010097493
The Weeknd - Snowchild.mp3,148.03799999999995,0.243095485,0.021773966,0.19577717,0.020265812,0.190215854,0.154208691,0.005278537,0.105570742,0.006786691,0.043642191,0.00235649,0.011028372
AC Slater - Fly Kicks (Wax Motif Remix).mp3,125.024,0.028435624,0.233322215,0.186374249,0.013092061,0.029102735,0.034606404,0.160023349,0.05828885900000001,0.125250167,0.036274183,0.063792528,0.031437625
Cardi B - I Like It (Dillon Francis Remix).mp3,150.16299999999995,0.22061004,0.028595637,0.030078373,0.040775259,0.043317094,0.217115018,0.031878839,0.083245075,0.080809151,0.088434654,0.090552849,0.044588011
Disclosure - When A Fire Starts To Burn.mp3,123.948,0.073889207,0.037640128,0.106210621,0.027820964,0.043531626,0.105801489,0.06922510400000001,0.10735619,0.127321823,0.177481385,0.042222404000000005,0.081499059
Chris Lake - I Want You.mp3,125.008,0.101853585,0.160363228,0.054296948,0.041471635,0.155214379,0.064969107,0.079760345,0.046620483,0.106721588,0.106347126,0.038101479,0.044280097
Chris Lake - Y.O.D.O.mp3,124.023,0.074815595,0.011415525,0.067615033,0.035212504,0.04970144,0.039076221,0.012557078,0.060414471,0.05628732,0.465841236,0.07253249,0.054531085
Claptone - Cream.mp3,120.007,0.097294083,0.009812667,0.05019328,0.17151353,0.06779661,0.293428486,0.01254832,0.031638418,0.160808802,0.055664585,0.020041629,0.02925959
Drake - Nice For What.mp3,93.394,0.118087685,0.047257105,0.037343027,0.090548579,0.045825072,0.115003305,0.027539106,0.029962547000000006,0.149261952,0.106741573,0.172615113,0.059814937
FISHER - Losing It.mp3,125.0,0.067864832,0.016100346,0.101844051,0.032575119,0.013853786000000002,0.036787419,0.011420013,0.360198446,0.219133202,0.080969765,0.026022653,0.033230366000000004
Corona - Rhythm Of The Night (Blonde Remix).mp3,123.046875,0.209917244,0.01554195,0.020520756,0.060754895,0.020588037,0.17647850399999998,0.038417547,0.237838929,0.042252574,0.028056247000000003,0.110542959,0.039090359
Disclosure - Omen (Jonas Rathsman Remix).mp3,124.005,0.116655337,0.018581464,0.012236573999999998,0.217856334,0.029775663,0.293269884,0.004078858,0.035440743,0.216723317,0.008973486999999999,0.044278269,0.00213007
Disclosure - Stimulation.mp3,128.998,0.223157284,0.063551944,0.07225769,0.044471851,0.018427162,0.039320952,0.015597795,0.06485780599999999,0.010737086000000002,0.174550203,0.151842716,0.12122751
Meek Mill - Going Bad.mp3,86.00299999999999,0.054625097,0.061066735,0.029373873,0.025766555,0.101520227,0.021772739,0.157820149,0.208193764,0.021386241,0.037748003,0.038392167000000005,0.24233445
Dusky - Perth Remix.mp3,124.996,0.376674002,0.00987111,0.06362779,0.044954417,0.006098711,0.080352091,0.008236404000000001,0.068217542,0.087771141,0.128701666,0.121911349,0.003583779
Ginuwine - Pony.mp3,142.024,0.122439564,0.131481823,0.060343237,0.027680384,0.06560251,0.030448422000000006,0.127883373,0.032386049,0.16036169,0.043642739000000014,0.078243218,0.11948699
FISHER - You Little Beauty.mp3,123.987,0.100554483,0.044607813,0.08572674599999999,0.029717775,0.030776899,0.121674662,0.037816958,0.072768052,0.05956015200000001,0.125599651,0.229331506,0.061865304
Dillon Francis - Get Low.mp3,101.033,0.050135648,0.064894194,0.047748237,0.023874118,0.113185024,0.040043407,0.037764514,0.038090071,0.075963104,0.340965817,0.119587629,0.047748237
Flume - Holdin' On.mp3,90.053,0.220718689,0.067658999,0.034731619,0.095173658,0.07307171900000001,0.098782138,0.039693279,0.06540369900000001,0.140881071,0.068861825,0.069914299,0.025109006
Flume - HyperParadise.mp3,145.447,0.020508827,0.122793354,0.015662858999999998,0.141225337,0.019124264,0.03911388,0.091381101,0.019989616,0.063949463,0.124956732,0.307632399,0.033662167
Flume - Never Be Like You (Disclosure Remix).mp3,119.984,0.019690722,0.031340206,0.16628866,0.12659793800000002,0.067113402,0.037731959,0.015773196,0.114226804,0.06773195900000001,0.226804124,0.102474227,0.024226804
Flume - You & Me.mp3,150.13,0.19137931,0.13243021300000002,0.02816092,0.045730706,0.027339901,0.199835796,0.011986864,0.004433498,0.046387521,0.068144499,0.19228243,0.051888342
George Fitzgerald - Burns.mp3,123.993,0.020934272,0.056769357,0.404058872,0.004296554,0.049913155,0.005484962,0.135204315,0.022031264,0.01151842,0.13639272300000002,0.002468233,0.15092787300000002
Gesaffelstein - Hate Or Glory.mp3,102.987,0.013024602,0.081283164,0.364367262,0.030631934,0.029184756,0.008361473000000001,0.146647371,0.08739347199999999,0.031677119,0.041244573,0.13072841300000002,0.035455861
J Balvin - Mi Gente.mp3,104.959,0.066415763,0.015164932,0.089882665,0.06232012400000001,0.191277397,0.051472216,0.155744963,0.090546823,0.0297764,0.090104051,0.024795218,0.132499447
Mr. Carmack - Pay For What.mp3,148.02100000000004,0.06863934,0.012975988,0.036866359,0.062090710999999986,0.118360417,0.046325491,0.08234295400000001,0.053723017000000005,0.081372787,0.051540141,0.004123211,0.381639583
Justice - D.A.N.C.E.mp3,113.015,0.069094394,0.105989459,0.063152851,0.068615237,0.135793004,0.027407762,0.152850982,0.02798275,0.06765692400000001,0.152180163,0.031241016,0.098035458
Justice - Genesis.mp3,117.055,0.06827388599999999,0.044363205,0.25610117600000004,0.041399071,0.085268254,0.119059381,0.055034088,0.054540065,0.042584725,0.151566051,0.050587887000000005,0.031222211
Justin Martin - Don't Go (Dusky Remix).mp3,123.072,0.112537136,0.032026144,0.212358883,0.02097445,0.050980392,0.071954843,0.051693405,0.01087344,0.104991087,0.192810458,0.012655971,0.126143791
James Blake  - Limit To Your Love (Club remix).mp3,123.046875,0.065814735,0.069834413,0.026037917,0.103191745,0.011399088,0.189164867,0.02537797,0.042356611,0.197444204,0.085613151,0.16762659,0.016138708999999998
Kendrick Lamar - HUMBLE (Skrillex Remix).mp3,150.029,0.08554092099999999,0.048246263,0.036406689,0.050318189000000006,0.07000148,0.106704159,0.100636377,0.08583691,0.107592127,0.077993192,0.16294213400000002,0.06778156
Kid Cudi - Pursuit of Happiness.mp3,115.277,0.191715139,0.030105329,0.038908977,0.012262223,0.209794058,0.044804276,0.016506839,0.102971231,0.059739035,0.175129697,0.023659802,0.094403396
Major Lazer - Lean On.mp3,98.007,0.08559032300000001,0.016302919,0.120036813,0.014856692,0.010255062,0.119116487,0.031159611,0.304102025,0.058900868,0.083749671,0.133841704,0.022087825
Malaa - Notorious.mp3,123.028,0.021487886,0.032360243,0.365465286,0.116685215,0.073110179,0.072853352,0.073538224,0.029535143,0.035099735,0.103158976,0.048454756,0.028251006
Marvin Gaye - Sexual Healing (Kygo Remix).mp3,100.987,0.220450104,0.005358381,0.040975856,0.242577066,0.020803127,0.104393873,0.013805711000000002,0.069532875,0.104330833,0.039588981,0.127025153,0.011158041
Justin Timberlake - Cry Me a River.mp3,147.768,0.043887905,0.14116604900000002,0.042277339,0.13166371400000002,0.097841842,0.015622483,0.034546626000000004,0.030117571,0.213480432,0.046947979,0.099452408,0.102995651
Drake - 0 To 100.mp3,88.309,0.046413502,0.052405063,0.045063291,0.018987342,0.091561181,0.062869198,0.133755274,0.187679325,0.055696203,0.083122363,0.077468354,0.14497890300000002
Purple Disco Machine - Body Funk (Dom Dolla Remix).mp3,124.003,0.083277326,0.06293150900000001,0.07301277,0.031282459,0.035498259,0.141931936,0.207551781,0.041730311,0.012952893,0.259668846,0.024867111,0.025294801
ODESZA - Bloom (Lane 8 Remix).mp3,124.996,0.018082664,0.125789323,0.099526406,0.012629162,0.172000574,0.08173076900000001,0.105625718,0.022962113,0.048579219000000014,0.232921929,0.023177382000000003,0.056974742
ODESZA - Loyal.mp3,139.961,0.025022341,0.19772118,0.100759607,0.019660411000000003,0.086126005,0.055741734,0.223302055,0.047028597000000005,0.055741734,0.104557641,0.016867739,0.067470956
Porter Robinson - Easy.m4a,127.988,0.016469347,0.014886883,0.257414137,0.034403939,0.110303599,0.014183566000000003,0.061305826,0.035693354,0.018051811,0.141952878,0.011897785,0.283436877
RL Grime - Core.mp3,149.996,0.073242475,0.034709285,0.020296107,0.06608491,0.026669281,0.537503677,0.133150309,0.044710266,0.020492205,0.020198059,0.013334641,0.009608785
RL Grime - Scylla.mp3,139.98,0.048516213,0.024662408,0.014150562,0.21015606,0.043745452,0.020781111,0.051103744000000006,0.024581548,0.387725398,0.055874505,0.026926498,0.091776502
RL Grime - Tell Me.mp3,140.05100000000002,0.15824248400000002,0.011562603,0.019573835,0.256854972,0.015113974,0.263627354,0.043359762,0.051123224,0.058638916,0.037578461,0.06821935900000001,0.016105055
Rufus Du Sol - Underwater (Adam Port Remix).mp3,118.016,0.060107064,0.085709298,0.188991039,0.03112999,0.091993483,0.021994647000000003,0.118759455,0.027289654,0.086349354,0.203712324,0.007389736,0.076573956
Seven Lions - Strangers.mp3,129.967,0.152143133,0.014931137,0.042090359,0.136053546,0.010812202,0.072660574,0.008624019,0.156841292,0.135088171,0.086626335,0.165980178,0.018149054
Flume - The Difference.mp3,159.96,0.130721162,0.140685695,0.02600912,0.130721162,0.020942408,0.20790407,0.042560378,0.035804763,0.08174294900000001,0.022293531,0.137307887,0.023306874
Tchami - Prophecy.mp3,125.008,0.07214947,0.163816832,0.026023855,0.017015598,0.07223288,0.055384102,0.21277838,0.041204437,0.0962549,0.136875469,0.051797481,0.054466594000000014
Travis Scott - SICKO MODE.mp3,155.00799999999995,0.077562532,0.044385066,0.08661768,0.071550508,0.04980331,0.096192385,0.086766125,0.045646849,0.110443108,0.155941513,0.131151191,0.043939731
Wild Cherry - Play That Funky Music (Gordo Edit).mp3,123.046875,0.121068473,0.07501881099999999,0.06523702,0.081640331,0.144544771,0.099473288,0.090744921,0.050714823,0.047780286,0.110383747,0.043942814,0.069450715
Justin Bieber - Yummy (Dance remix).wav,123.046875,0.073600253,0.037826739,0.059385612,0.05883282,0.054963279,0.06917792,0.02763958,0.178946537,0.043038774,0.3458896,0.016978599,0.033720287
Zhu - Exhale.mp3,139.985,0.083111996,0.226538291,0.109119079,0.049800797,0.094732182,0.008410800999999999,0.068946436,0.024457725,0.194887118,0.01980965,0.010956175,0.109229748
Zhu - My Life (Kyle Watson Remix).mp3,123.018,0.184494868,0.02221772,0.065167477,0.073136143,0.03552134,0.151269584,0.044097785,0.079416532,0.146812534,0.124189627,0.042206915,0.031469476
