track,bpm,C,Db,D,Eb,E,F,Gb,G,Ab,A,Bb,B
Kanye West - Flashing Lights.mp3,90.482,0.036953759,0.139994134,0.115553818,0.031185844,0.039300029,0.026493303,0.160132955,0.062567211,0.08407469,0.111545606,0.043014957,0.149183693
Disclosure - Holding On.mp3,124.004,0.104695806,0.050206734,0.11983166,0.012404017,0.040165387,0.318738925,0.008047844,0.036769049,0.034997047,0.131349675,0.090002953,0.052790904
Disclosure - Latch.mp3,121.986,0.14347984,0.060933527,0.025517617,0.150653832,0.028151108,0.116327643,0.020704686,0.027878678,0.176080639,0.060751907,0.133490737,0.056029786
Four Tet - Baby.mp3,127.066,0.140537219,0.026422051,0.183900983,0.066186798,0.034936798,0.138957163,0.007636938,0.100333567,0.052317416,0.175298455,0.021418539,0.052054073
Kodak Black - Patty Cake.mp3,152.094,0.023424294,0.101666264,0.050953876,0.067616518,0.181115673,0.059285197,0.122313451,0.037430572,0.151895677,0.026322144,0.014489254,0.16348708
Chrome Sparks - Wake.mp3,119.997,0.026954813,0.06459725,0.118428291,0.006051081,0.067897839,0.016031434,0.220196464,0.038506876,0.112455796,0.148369352,0.016031434,0.164479371
Beyonce - Formation.mp3,121.966,0.098816901,0.053859155,0.045183099,0.078197183,0.033014085,0.252394366,0.060957746,0.11256338,0.053859155,0.064338028,0.09543662,0.051380282
Ekali - Unfaith.mp3,132.05,0.09354479,0.0322141,0.085243464,0.012266138,0.103828522,0.053648866,0.046214843,0.084747863,0.02589518,0.198860116,0.010035931,0.253500186
Bonobo - Linked.mp3,122.041,0.022623013,0.221831207,0.012505499,0.102871866,0.00553007,0.147677999,0.144787281,0.006912587,0.023377113,0.004336077,0.301011751,0.006535537
Against All Logic - You Are Going to Love Me and Scream.mp3,124.978,0.038581423,0.058183833,0.014545958,0.248528088,0.065526079,0.053681513,0.020502875,0.028676318,0.145390317,0.068573803,0.19297638,0.064833414
The Weeknd - Blinding Lights.mp3,85.5025,0.129990715,0.013231198,0.048050139,0.171541318,0.011258124,0.332985144,0.007544104,0.131383473,0.037836583,0.010445682,0.095636026,0.010097493
The Weeknd - Snowchild.mp3,148.038,0.243095485,0.021773966,0.19577717,0.020265812,0.190215854,0.154208691,0.005278537,0.105570742,0.006786691,0.043642191,0.00235649,0.011028372
AC Slater - Fly Kicks (Wax Motif Remix).mp3,125.024,0.028435624,0.233322215,0.186374249,0.013092061,0.029102735,0.034606404,0.160023349,0.058288859,0.125250167,0.036274183,0.063792528,0.031437625
Cardi B - I Like It (Dillon Francis Remix).mp3,150.163,0.22061004,0.028595637,0.030078373,0.040775259,0.043317094,0.217115018,0.031878839,0.083245075,0.080809151,0.088434654,0.090552849,0.044588011
Disclosure - When A Fire Starts To Burn.mp3,123.948,0.073889207,0.037640128,0.106210621,0.027820964,0.043531626,0.105801489,0.069225104,0.10735619,0.127321823,0.177481385,0.042222404,0.081499059
Chris Lake - I Want You.mp3,125.008,0.101853585,0.160363228,0.054296948,0.041471635,0.155214379,0.064969107,0.079760345,0.046620483,0.106721588,0.106347126,0.038101479,0.044280097
Chris Lake - Y.O.D.O.mp3,124.023,0.074815595,0.011415525,0.067615033,0.035212504,0.04970144,0.039076221,0.012557078,0.060414471,0.05628732,0.465841236,0.07253249,0.054531085
Claptone - Cream.mp3,120.007,0.097294083,0.009812667,0.05019328,0.17151353,0.06779661,0.293428486,0.01254832,0.031638418,0.160808802,0.055664585,0.020041629,0.02925959
Drake - Nice For What.mp3,93.394,0.118087685,0.047257105,0.037343027,0.090548579,0.045825072,0.115003305,0.027539106,0.029962547,0.149261952,0.106741573,0.172615113,0.059814937
FISHER - Losing It.mp3,125,0.067864832,0.016100346,0.101844051,0.032575119,0.013853786,0.036787419,0.011420013,0.360198446,0.219133202,0.080969765,0.026022653,0.033230366
Corona - Rhythm Of The Night (Blonde Remix).mp3,123.046875,0.209917244,0.01554195,0.020520756,0.060754895,0.020588037,0.176478504,0.038417547,0.237838929,0.042252574,0.028056247,0.110542959,0.039090359
Disclosure - Omen (Jonas Rathsman Remix).mp3,124.005,0.116655337,0.018581464,0.012236574,0.217856334,0.029775663,0.293269884,0.004078858,0.035440743,0.216723317,0.008973487,0.044278269,0.00213007
Disclosure - Stimulation.mp3,128.998,0.223157284,0.063551944,0.07225769,0.044471851,0.018427162,0.039320952,0.015597795,0.064857806,0.010737086,0.174550203,0.151842716,0.12122751
Meek Mill - Going Bad.mp3,86.003,0.054625097,0.061066735,0.029373873,0.025766555,0.101520227,0.021772739,0.157820149,0.208193764,0.021386241,0.037748003,0.038392167,0.24233445
Dusky - Perth Remix.mp3,124.996,0.376674002,0.00987111,0.06362779,0.044954417,0.006098711,0.080352091,0.008236404,0.068217542,0.087771141,0.128701666,0.121911349,0.003583779
Ginuwine - Pony.mp3,142.024,0.122439564,0.131481823,0.060343237,0.027680384,0.06560251,0.030448422,0.127883373,0.032386049,0.16036169,0.043642739,0.078243218,0.11948699
FISHER - You Little Beauty.mp3,123.987,0.100554483,0.044607813,0.085726746,0.029717775,0.030776899,0.121674662,0.037816958,0.072768052,0.059560152,0.125599651,0.229331506,0.061865304
Dillon Francis - Get Low.mp3,101.033,0.050135648,0.064894194,0.047748237,0.023874118,0.113185024,0.040043407,0.037764514,0.038090071,0.075963104,0.340965817,0.119587629,0.047748237
Flume - Holdin' On.mp3,90.053,0.220718689,0.067658999,0.034731619,0.095173658,0.073071719,0.098782138,0.039693279,0.065403699,0.140881071,0.068861825,0.069914299,0.025109006
